nameStd,icd10
Neoplasm of uncertain behavior of endocrine glands,D44
Other specified disorders of parathyroid gland,E21.4
"Disorder of parathyroid gland, unspecified",E21.5
Blastic NK-cell lymphoma,C86.4
"Benign neoplasm, unspecified site",D36.9
Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system,D48.2
Hypofunction and other disorders of the pituitary gland,E23
Other disorders of pituitary gland,E23.6
Carcinoma in situ of eye,D09.2
Osteomyelofibrosis,D47.4
Other primary thrombocytopenia,D69.4
"Disorder of pituitary gland, unspecified",E23.7
Drug-induced hypopituitarism,E23.1
Vitamin B12 deficiency anemia,D51
Benign neoplasm of endocrine pancreas,D13.7
"Neoplasm of uncertain behavior, unspecified",D48.9
Hyperaldosteronism,E26
"Hypothyroidism, unspecified",E03.9
Carcinoma in situ of penis,D07.4
"Nutritional anemia, unspecified",D53.9
Other nutritional anemias,D53
Drug-induced adrenocortical insufficiency,E27.3
Primary adrenocortical insufficiency,E27.1
Benign neoplasm of liver,D13.4
Thalassemia,D56
Sickle cell disorders,D57
Other disorders of adrenal gland,E27
"Disorders of puberty, not elsewhere classified",E30
Benign neoplasm of duodenum,D13.2
Androgen insensitivity syndrome,E34.5
Polyglandular dysfunction,E31
Acquired hemolytic anemia,D59
Acute posthemorrhagic anemia,D62
Benign lipomatous neoplasm,D17
Other endocrine disorders,E34
Anemia due to enzyme disorders,D55
Testicular dysfunction,E29
Acquired coagulation factor deficiency,D68.4
"Benign neoplasm of connective and other soft tissue of upper limb, including shoulder",D21.1
Constitutional tall stature,E34.4
Hereditary factor XI deficiency,D68.1
"Endocrine disorder, unspecified",E34.9
Aplastic anemia due to other external agents,D61.2
Carcinoma in situ of breast,D05
Kwashiorkor,E40
"Ectopic hormone secretion, not elsewhere classified",E34.2
Qualitative platelet defects,D69.1
"Other megaloblastic anemias, not elsewhere classified",D53.1
Benign neoplasm of connective and other soft tissue of thorax,D21.3
Vitamin A deficiency,E50
Dietary selenium deficiency,E59
Congenital dyserythropoietic anemia,D64.4
Other specified disorders of white blood cells,D72.8
"Benign neoplasm of connective and other soft tissue, unspecified",D21.9
Unspecified severe protein-calorie malnutrition,E43
Other vitamin deficiencies,E56
Other and unspecified diseases of blood and blood-forming organs,D75
"Other benign neoplasm of skin of eyelid, including canthus",D23.1
Other specified anemias,D64.8
Iron deficiency,E61.1
Molybdenum deficiency,E61.5
Other benign neoplasms of uterus,D26
Other disorders of white blood cells,D72
"Anemia, unspecified",D64.9
"Deficiency of nutrient element, unspecified",E61.9
Chromium deficiency,E61.4
Benign neoplasm of ovary,D27
Combined immunodeficiencies,D81
"Nutritional deficiency, unspecified",E63.9
Hemorrhagic disorder due to circulating anticoagulants,D68.3
Sequelae of other nutritional deficiencies,E64.8
Other histiocytosis syndromes,D76.3
Benign neoplasm of urinary organs,D30
"Coagulation defect, unspecified",D68.9
Other specified nutritional deficiencies,E63.8
Sequelae of malnutrition and other nutritional deficiencies,E64
Neoplasm of uncertain behavior of urinary organs,D41
Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,D76
Other nonthrombocytopenic purpura,D69.2
Deficiency of other specified nutrient elements,E61.8
Overweight and obesity,E66
Benign neoplasm of other specified female genital organs,D28.7
Other specified immunodeficiencies,D84.8
Other specified hemorrhagic conditions,D69.8
Sequelae of vitamin A deficiency,E64.1
Sequelae of hyperalimentation,E68
"Disorder involving the immune mechanism, unspecified",D89.9
Benign neoplasm of cranial nerves,D33.3
Hypervitaminosis D,E67.3
Immunodeficiency following hereditary defective response to Epstein-Barr virus,D82.3
Other disorders of amino-acid metabolism,E72
Sarcoidosis,D86
Benign neoplasm of thyroid gland,D34
Immunodeficiency with short-limbed stature,D82.2
"Disorder of amino-acid metabolism, unspecified",E72.9
Lactose intolerance,E73
Congenital hypothyroidism without goiter,E03.1
Benign neoplasm of carotid body,D35.5
"Immunodeficiency associated with major defect, unspecified",D82.9
Other specified disorders of amino-acid metabolism,E72.8
Disorders of galactose metabolism,E74.2
Myelodysplastic syndromes,D46
"Immunodeficiency, unspecified",D84.9
"Other disorders involving the immune mechanism, not elsewhere classified",D89
Other disorders of intestinal carbohydrate absorption,E74.3
Other specified disorders of carbohydrate metabolism,E74.8
Neoplasm of uncertain behavior of male genital organs,D40
Postinfectious hypothyroidism,E03.3
Mast cell activation syndrome and related disorders,D89.4
Neuronal ceroid lipofuscinosis,E75.4
"Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified",D47.9
"Hyperlipidemia, unspecified",E78.5
Thyrotoxicosis [hyperthyroidism],E05
Other hypothyroidism,E03
Other hyperlipidemia,E78.4
Benign neoplasm of parathyroid gland,D35.1
Lipoprotein deficiency,E78.6
Disorders of purine and pyrimidine metabolism,E79
Neoplasm of uncertain behavior of breast,D48.6
Myxedema coma,E03.5
Nontoxic single thyroid nodule,E04.1
"Disorder of lipoprotein metabolism, unspecified",E78.9
Disorders of calcium metabolism,E83.5
Benign neoplasm of peripheral nerves and autonomic nervous system,D36.1
Disorders of porphyrin and bilirubin metabolism,E80
Other specified hypothyroidism,E03.8
Other nontoxic goiter,E04
Other specified diabetes mellitus with ketoacidosis,E13.1
Neoplasm of uncertain behavior of peritoneum,D48.4
"Other disorders of fluid, electrolyte and acid-base balance",E87
Type 1 diabetes mellitus,E10
Alkalosis,E87.3
Other specified diabetes mellitus with kidney complications,E13.2
Hypokalemia,E87.6
Other specified diabetes mellitus with ophthalmic complications,E13.3
Neoplasm of uncertain behavior of connective and other soft tissue,D48.1
Acidosis,E87.2
"Metabolic disorder, unspecified",E88.9
Other specified diabetes mellitus with neurological complications,E13.4
"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified",E89
Other specified diabetes mellitus without complications,E13.9
"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue",D47
"Disorder of thyroid, unspecified",E07.9
"Hypoglycemia, unspecified",E16.2
Dementia in other diseases classified elsewhere,F02
Other mental disorders due to known physiological condition,F06
Other hereditary hemolytic anemias,D58
Delirium due to known physiological condition,F05
Psychotic disorder with delusions due to known physiological condition,F06.2
Other specified diabetes mellitus without complications,E14
Increased secretion of glucagon,E16.3
Drug-induced aplastic anemia,D61.1
Psychotic disorder with hallucinations due to known physiological condition,F06.0
Vascular dementia,F01~F09
"Disorder of pancreatic internal secretion, unspecified",E16.9
Drug-induced hypoglycemia without coma,E16.0
Idiopathic aplastic anemia,D61.3
Anxiety disorder due to known physiological condition,F06.4
Other hypoglycemia,E16.1
Alcohol related disorders,F10
"Hypothalamic dysfunction, not elsewhere classified",E23.3
Acquired pure red cell aplasia [erythroblastopenia],D60
Other psychoactive substance dependence,F19.2
Adrenomedullary hyperfunction,E27.5
Hyperparathyroidism and other disorders of parathyroid gland,E21
Nicotine dependence,F17.203
Anemia in chronic diseases classified elsewhere,D63
Nicotine dependence,F17
Addisonian crisis,E27.2
Schizotypal disorder,F21
Other specified nutritional anemias,D53.8
"Hyperparathyroidism, unspecified",E21.3
Other stimulant dependence,F15.23
Other stimulant dependence,F15.2
Ovarian dysfunction,E28
Secondary sideroblastic anemia due to drugs and toxins,D64.2
Other stimulant related disorders,F15
Adrenogenital disorders,E25
Other specified endocrine disorders,E34.8
Opioid related disorders,F11
Hereditary factor VIII deficiency,D66
Alcohol dependence,F10.2
Other and unspecified adrenocortical insufficiency,E27.4
Purpura and other hemorrhagic conditions,D69
Unspecified protein-calorie malnutrition,E46
Cannabis dependence,F12.23
Other specified disorders of adrenal gland,E27.8
Secondary thrombocytopenia,D69.5
Deficiency of other B group vitamins,E53
Disorders of endocrine glands in diseases classified elsewhere,E35
Eosinophilia,D72.1
"Vitamin deficiency, unspecified",E56.9
Other hypersecretion of intestinal hormones,E34.1
Deficiency of vitamin K,E56.1
"Disorder of white blood cells, unspecified",D72.9
Marasmic kwashiorkor,E42
Deficiency of other nutrient elements,E61
Secondary polycythemia,D75.1
Niacin deficiency [pellagra],E52
Hypercarotinemia,E67.1
Thiamine deficiency,E51
Hemophagocytic lymphohistiocytosis,D76.1
Megavitamin-B6 syndrome,E67.2
Common variable immunodeficiency,D83
Deficiency of other vitamins,E56.8
Sequelae of vitamin C deficiency,E64.2
Hyperimmunoglobulin E [IgE] syndrome,D82.4
Localized adiposity,E65
Nutritional marasmus,E41
"Disease of blood and blood-forming organs, unspecified",D75.9
Disorders of aromatic amino-acid metabolism,E70
Vitamin D deficiency,E55
Congenital iodine-deficiency syndrome,E00
Sequelae of rickets,E64.3
"Vitamin B deficiency, unspecified",E53.9
Subclinical iodine-deficiency hypothyroidism,E02
Disorders of lysine and hydroxylysine metabolism,E72.3
Other hyperalimentation,E67
Other specified nontoxic goiter,E04.8
Sequelae of unspecified nutritional deficiency,E64.9
Disorders of sulfur-bearing amino-acid metabolism,E72.1
Atrophy of thyroid (acquired),E03.4
Disorders of fructose metabolism,E74.1
Vanadium deficiency,E61.6
Type 2 diabetes mellitus,E11
Disorders of urea cycle metabolism,E72.2
Other disorders of carbohydrate metabolism,E74
Other specified disorders of thyroid,E07.8
"Disorder of carbohydrate metabolism, unspecified",E74.9
Other and unspecified gangliosidosis,E75.1
Other disorders of pancreatic internal secretion,E16
"Lipid storage disorder, unspecified",E75.6
Disorders of sphingolipid metabolism and other lipid storage disorders,E75
"Secondary hyperparathyroidism, not elsewhere classified",E21.1
Disorders of glycoprotein metabolism,E77
Disorders of glycosaminoglycan metabolism,E76
Other specified disorders of pancreatic internal secretion,E16.8
Hyperchylomicronemia,E78.3
Disorders of bile acid and cholesterol metabolism,E78.7
Pure hyperglyceridemia,E78.1
Other specified diabetes mellitus with unspecified complications,E13.8
Deficiency of multiple nutrient elements,E61.7
Hypo-osmolality and hyponatremia,E87.1
Hyperfunction of pituitary gland,E22
Amyloidosis,E85
Disorders of mineral metabolism,E83
Syndrome of inappropriate secretion of antidiuretic hormone (SIADH),E22.2
Fluid overload,E87.7
Hyperkalemia,E87.5
Diabetes insipidus,E23.2
"Lipodystrophy, not elsewhere classified",E88.1
Mixed disorder of acid-base balance,E87.4
Cushing's syndrome,E24
Tumor lysis syndrome,E88.3
Unspecified dementia,F03
Other specified metabolic disorders,E88.8
"Disorder of adrenal gland, unspecified",E27.9
Amnestic disorder due to known physiological condition,F04
Diseases of thymus,E32
"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8
Mitochondrial metabolism disorders,E88.4
Short stature due to endocrine disorder,E34.3
Dementia in other diseases classified elsewhere,F02.8
Personality and behavioral disorders due to known physiological condition,F07
Other specified mental disorders due to known physiological condition,F06.8
Retarded development following protein-calorie malnutrition,E45
Vascular dementia,F01
Hallucinogen related disorders,F16
Protein-calorie malnutrition of moderate and mild degree,E44
Mood disorder due to known physiological condition,F06.3
Other stimulant abuse,F15.1
Pyridoxine deficiency,E53.1
Other psychoactive substance abuse,F19.1
Cocaine dependence,F14.23
Ascorbic acid deficiency,E54
Other psychoactive substance related disorders,F19
Deficiency of other specified B group vitamins,E53.8
Other psychoactive substance dependence,F19.23
"Other stimulant use, unspecified",F15.9
Dietary zinc deficiency,E60
Dietary calcium deficiency,E58
Cocaine related disorders,F14
Opioid dependence,F11.23
Imbalance of constituents of food intake,E63.1
Manganese deficiency,E61.3
Other nutritional deficiencies,E63
Other specified hyperalimentation,E67.8
Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,E71
Disorders of glycine metabolism,E72.5
Disorders of ornithine metabolism,E72.4
Disorders of pyruvate metabolism and gluconeogenesis,E74.4
Other lipid storage disorders,E75.5
Disorders of lipoprotein metabolism and other lipidemias,E78
Other sphingolipidosis,E75.2
"Sphingolipidosis, unspecified",E75.3
Mixed hyperlipidemia,E78.2
Other disorders of lipoprotein metabolism,E78.8
Cystic fibrosis,E84
Disorders of iron metabolism,E83.1
Dehydration,E86
Other and unspecified metabolic disorders,E88
"Lipomatosis, not elsewhere classified",E88.2
"Alcohol use, unspecified",F10.92
Catatonic disorder due to known physiological condition,F06.1
Unspecified mental disorder due to known physiological condition,F09
Inhalant related disorders,F18
"Other psychoactive substance use, unspecified",F19.9
Schizophrenia,F20
Mental and behavioural disorders due to psychoactive substance use,F10~F19
Cannabis related disorders,F12
"Sedative, hypnotic, or anxiolytic related disorders",F13
"Sedative, hypnotic or anxiolytic-related dependence",F13.23
Cocaine related disorders,F14
Cocaine dependence,F14.23
Other stimulant related disorders,F15
Other stimulant abuse,F15.1
Other stimulant dependence,F15.2
Other stimulant dependence,F15.23
"Other stimulant use, unspecified",F15.9
Hallucinogen related disorders,F16
Nicotine dependence,F17
Nicotine dependence,F17.203
Inhalant related disorders,F18
Other psychoactive substance related disorders,F19
Other psychoactive substance abuse,F19.1
Other psychoactive substance dependence,F19.2
Other psychoactive substance dependence,F19.23
"Other psychoactive substance use, unspecified",F19.9
